"The only way to do great work is to love what you do." | Steve Jobs
"Success is not final, failure is not fatal: It is the courage to continue that counts." | Winston Churchill
"Believe you can and you're halfway there." | Theodore Roosevelt
"Don't watch the clock; do what it does. Keep going." | Sam Levenson
"Success usually comes to those who are too busy to be looking for it." | Henry David Thoreau
"Opportunities don't happen. You create them." | Chris Grosser
"Your time is limited, so don't waste it living someone else's life." | Steve Jobs
"Don't be afraid to give up the good to go for the great." | John D. Rockefeller
"I find that the harder I work, the more luck I seem to have." | Thomas Jefferson
"Success is not how high you have climbed, but how you make a positive difference to the world." | Roy T. Bennett
